#Date            Weight        W    H       R     B       S      Y     G       P Tags
#Date            Weight        W    H       R     B       S      Y     G       P Tags
11/01/2021     212.0          20	0	0     0	0	0	 15	 0
11/02/2021     212.0          20	0	0     0	0	0	 5	 0
11/10/2021     211.0          80	0	0     0	0	0	 10	 0
11/11/2021     211.0          100	0	0     0	0	0	 10	 0
11/12/2021     211.0          100	0	0     0	0	0	 10	 0
11/13/2021     211.0          100	0	0     0	0	0	 10	 0
11/14/2021     211.0          120	0	0     0	0	0	 10	 0
11/15/2021     212.0          100	0	0     0	0	0	 10	 0
11/16/2021     212.0          100	0	0     0	0	0	 10	 0
11/17/2021     211.4          50	0	0     0	0	0	 30	 185
11/18/2021     210.8          20	0	0     0	0	0	 0	 0
11/19/2021     211.5          60	0	0     0	0	0	 30	 195
11/20/2021     211.2          10	0	0     0	0	0	 5	 0
11/22/2021     213.2          60	0	0     0	0	0	 35	 205
11/23/2021     213.2          60	0	0     0	0	0	 35	 205
11/24/2021     212.4          40	0	0     0	0	0	 35	 205
11/28/2021     214.4          40	0	0     0	0	0	 5	 0
11/29/2021     214.4          40	0	0     0	0	0	 5	 0
11/30/2021     214.4          20	0	0     0	0	0	 5	 0
#Date            Weight        W    H       R     B       S      Y     G       P Tags
12/01/2021     214.4          15	0	0     0	0	0	 5	 0
12/02/2021     214.4          120	0	0     0	0	0	 0	 0
12/03/2021     214.4          10	0	0     0	0	0	 0	 0


























