### TP FILE - COLORADO/WY/NM/IA
# Name          ID      LAT		LONG		MSL	RWAY	RADIO   ATTR
 EastonVa    	11V	40,19.83,N	104,36.53,W	4820	08/26	_	TA 
 EdenR       	CO76	38,50.18,N	107,51.95,W	6150	18/36	_	TAV 
 EldSpr      	esp	39,55.00,N	105,16.00,W	8000	_	_	T 
 Elkhart     	EHA	37,00.02,N	101,53.03,W	3625	03/21	_	TA 
 EllisR      	WY17	42,01.32,N	106,25.47,W	6530	08/26	_	TAV 
 ElPaso      	elp	31,48.40,N	106,22.66,W	3956	04/22	_	TAV 
 EstesPar    	EPK	40,23.00,N	105,31.00,W	14250	_	_	T 
 Eureka      	99E	35,49.90,N	104,32.00,W	5760	08/26	_	TA 
 Evans       	79V	41,15.53,N	105,35.35,W	7225	06/24	_	TA 
 ForTColL    	FNL	40,27.48,N	105,00.72,W	5016	06/24	122.7	TA 
 FortMorg    	3V4	40,20.05,N	103,48.23,W	4560	07/25	122.8	TA 
 Fairplay    	_	39,10.80,N	105,58.50,W	9800	_	_	T
 Farmingt    	fmn	36,44.52,N	108,13.79,W	5503	05/23	118.9	TA 
 Finley      	_	37,46.75,N	106,07.02,W	7646	_	_	TA 
 Flagler     	3V3	39,16.50,N	103,04.50,W	4944	08/26	122.8	TA
 Florissant          FLR  38,53.100,N       105,16.700,W    8700ft       NS/EW      -		TA
 FlyMR       	39CO	38,29.28,N	107,40.45,W	7200	09/27	_	TAV 
 FlyMnM      	0CO6	38,13.17,N	108,12.78,W	8000	02/20	_	TA 
 Fortmyer    	5KS2	39,20.50,N	101,39.95,W	3650	08/26	_	TA 
 FourCorn    	_	40,51.60,N	105,53.85,W	8100	_	_	TA 
 Fowler      	09V	38,04.35,N	104,02.75,W	4428	04/22	_	TA 
 FowlerKS    	18K	37,23.05,N	100,11.17,W	2483	03/21	_	TA 
 FoxValle    	CD03	38,38.70,N	104,14.00,W	5801	18/36	_	TA 
 Frasier     	CO92	39,38.75,N	103,38.75,W	5000	_	_	TA 
 FremontC    	1V6	38,25.77,N	105,06.42,W	5440	11/29	122.8	TA 
 FrontRan    	FTG	39,47.12,N	104,32.58,W	5512	08/26	_	AV 
 Frontier    	84CO	40,12.75,N	104,58.95,W	4979	09/27	_	TA 
 Gallup      	gup	35,30.66,N	108,47.36,W	6469	_	_	T 
 GardenCn    	OKS	41,24.07,N	102,21.30,W	3386	12/30	_	TA 
 GardenCt    	GCK	37,55.65,N	100,43.47,W	2890	12/30	_	TAV 
 Garfield    	RIL	39,31.58,N	107,43.62,W	5554	08/26	_	TA 
 Geary       	CO65	38,03.00,N	105,28.30,W	8300	07/25	_	TA 
 Gebauer     	5V6	40,14.67,N	103,05.62,W	4509	08/26	_	TA 
 GhostR      	50E	36,18.05,N	106,29.23,W	6440	14/32	_	TA 
 Gillette    	gcc	44,20.90,N	105,32.30,W	4363	_	_	T 
