Date         	Weight	Walk	Hike	Run	Bike	Swim	Yard	Gym	Bpress	Tags	
11/24/2019	210	10	0	0	120	0	0	0	0
11/25/2019	210	50	0	0	0	0	0	44	205
11/26/2019	210	50	0	0	0	0	0	44	205
11/27/2019	210	10	0	0	120	0	0	0	0
11/28/2019	210	30	0	0	0	0	0	30	205
11/29/2019	210	120	0	0	0	0	0	0	0
11/30/2019	210	20	0	0	120	0	0	0	0
#Date         	Wt	W     H	R	B	S	Y	G	P	Tags	
12/01/2019       210	120	0	0	0	0	0	0	0
12/02/2019       210	180	0	0	0	0	0	0	0
12/03/2019       210	60	0	0	0	0	0	0	0
12/04/2019       210	10	0	0	0	0	0	0	0
12/05/2019       210	10	0	0	0	0	0	0	0
12/06/2019       210	10	0	0	0	0	0	0	0
12/07/2019       210	10	0	0	0	0	0	0	0
12/08/2019       210	10	0	0	0	0	0	0	0
12/09/2019       210	10	0	0	0	0	0	0	0
12/10/2019       210	60	0	0	0	0	0	0	0
12/11/2019       210	10	0	0	0	0	0	0	0
12/11/2019       210	10	0	0	0	0	0	0	0
12/16/2019       210	10	0	0	0	0	0	30	260
12/18/2019       208	10	0	0	0	0	0	30	260
12/19/2019       208	20	0	0	0	0	120	0	0
12/20/2019       208	20	0	0	0	0	120	0	0
12/21/2019       208	20	0	0	0	0	120	0	0
12/22/2019       208	20	0	0	0	0	120	0	0
12/23/2019       208	20	0	0	0	0	120	0	0
12/24/2019       208	20	0	0	0	0	120	0	0
12/25/2019       208	70	0	0	0	0	0	0	0
12/26/2019       208	80	0	0	0	0	0	0	0




